SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,LUP,N,48,53,90.6,N,50,56,89.3
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,LUN,N,40,40,100.0,N,33,33,100.0
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,LEP,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,LEN,N,88,93,94.6,N,83,89,93.3
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,HOM,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,ETW,N,87,91,95.6,N,78,84,92.9
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,ETP,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,050,Livingston Central High School,345050,070345050,210351000924,WKEC,908,ACO,N,82,86,95.3,N,73,75,97.3
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETA,Y,,1,,Y,,1,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETB,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETH,,,0,,Y,,3,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETI,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETO,Y,,1,,Y,,1,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETP,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ETW,N,87,91,95.6,N,78,84,92.9
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,HOM,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,LEN,N,88,93,94.6,N,83,89,93.3
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,LEP,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,LUN,N,40,40,100.0,N,33,33,100.0
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,LUP,N,48,53,90.6,N,50,56,89.3
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,MIG,,,0,,,,0,
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,SXF,N,40,44,90.9,N,43,48,89.6
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,SXM,N,48,49,98.0,N,40,41,97.6
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,TST,N,88,93,94.6,N,83,89,93.3
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ACD,Y,,7,,N,10,14,71.4
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ACO,N,82,86,95.3,N,73,75,97.3
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,CSG,Y,,8,,N,13,17,76.5
20182019,070,LIVINGSTON,345,Livingston County,,---District Total---,345,,,WKEC,908,ELM,,,0,,Y,,1,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ACD,N,18,21,85.7,N,19,25,76.0
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,TST,N,251,272,92.3,N,251,271,92.6
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,CSG,N,38,43,88.4,N,32,40,80.0
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ELM,Y,,2,,Y,,1,
